Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Tekstilni tehnik, pletilski tehnik;pletilski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni tehnik, predilski tehnik;predilski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni tehnik, tkalski tehnik;tkalski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni tiskar;tekstilni tiskar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilno in oblačilno inženirstvo;diplomirani tekstilni inženir (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilno kemijska tehnologija;specialist za tekstilno kemijsko tehnologijo;;17001;Specialistično izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilno konfekcijska tehnologija;specialist za tekstilno konfekcijsko tehnologijo;;17001;Specialistično izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilno mehanska tehnologija;specialist za tekstilno mehansko tehnologijo;;17001;Specialistično izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnokemijska tehnologija;pomočnik tekstilnega kemika;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnokemijska tehnologija,;tekstilni kemik I;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnokemijska tehnologija,;tekstilni kemik II;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnokemijska tehnologija,;tekstilnokemijski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilno-kemijski tehnik;tekstilno-kemijski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnokonfekcijska tehnologija;pomočnik tekstilnega konfekcionarja;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnokonfekcijska tehnologija, A - tekstilni konfekcionar I;tekstilni konfekcionar I;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnokonfekcijska tehnologija, B - tekstilni konfekcionar II;tekstilni konfekcionar II;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnokonfekcijska tehnologija, C - tekstilnoobrtni konfekcionar;tekstilnoobrtni konfekcionar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnokonfekcijska tehnologija, Č - tekstilnokonfekcijski tehnik;tekstilnokonfekcijski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnomehanska tehnologija;pomočnik tekstilnega mehanika;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnomehanska tehnologija, A - tekstilni mehanik I;tekstilni mehanik I;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnomehanska tehnologija, B - tekstilni mehanik II;tekstilni mehanik II;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilnomehanska tehnologija, C - tekstilnomehanski tehnik;tekstilnomehanski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilstvo;diplomirani inženir tekstilstva;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilstvo;specialist tekstilstva;;17001;Specialistično izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilstvo;univerzitetni diplomirani inženir tekstilstva;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilstvo, grafika in tekstilno oblikovanje;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Tekstilstvo, grafika in tekstilno oblikovanje;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Tekstilstvo, grafika in tekstilno oblikovanje;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Telefonist;telefonist;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Telefonist;telefonist;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Telefonist;telefonist (NATC);;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Telefonist (USO II);telefonist;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Telefonist (USO II);telefonist (NATC);;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Telefonist v naročilniških telefonskih centralah (USO II);telefonist v naročilniških telefonskih centralah;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Telekomunikacije;diplomirani inženir telekomunikacij (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0714";Elektronika in avtomatizacija;Electronics and automation;
Telekomunikacije;inženir telekomunikacij;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0714";Elektronika in avtomatizacija;Electronics and automation;
Telekomunikacije;magister inženir telekomunikacij;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0714";Elektronika in avtomatizacija;Electronics and automation;
