Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Slovakistika;diplomirani slovakist (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Slovakistika;magister profesor slovakistike in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovakistika;magister slovakistike in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Slovanski jeziki in književnosti;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovanski jeziki in književnosti;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovaški jezik in književnost - dvopredmetni;univerzitetni diplomirani slovakist in …;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Slovenistiène študije;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenistika;diplomirani slovenist (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenistika;diplomirani slovenist (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenistika;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenistika;magister jezikoslovja;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenistika;magister profesor slovenistike;UNG FH,UL FF;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenistika;magister profesor slovenistike;UP FHŠ;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0188";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno izobraževalne znanosti in izobraževanje uèiteljev;Inter-disciplinary programmes and qualifications involving education;
Slovenistika;magister profesor slovenistike in ...;UP FHŠ;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0188";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno izobraževalne znanosti in izobraževanje uèiteljev;Inter-disciplinary programmes and qualifications involving education;
Slovenistika;magister profesor slovenistike in ...;UL FF;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenistika;magister slovenistike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenistika;magister slovenistike in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenistika;univerzitetni diplomirani slovenist;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenski jezik in književnost;diplomirani slovenist (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenski jezik in književnost;diplomirani slovenist (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenski jezik in književnost;magister profesor slovenskega jezika in književnosti;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenski jezik in književnost;magister profesor slovenskega jezika in književnosti in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenski jezik in književnost;magister slovenskega jezika in književnosti;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenski jezik in književnost;magister slovenskega jezika in književnosti in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenski jezik in književnost - dvopredmetni;profesor slovenšèine in ...;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenski jezik in srbohrvatski jezik s književnostjo;predmetni uèitelj slovenskega jezika in srbskohrvatskega jezika s književnostma;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenski jezik s književnostjo;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenski jezik s književnostjo;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenski jezik s književnostjo;predmetni uèitelj slovenšèine;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenski jezik s književnostjo;profesor slovenšèine;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenski jezik s književnostjo;slovenist;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0232";Književnost in jezikoslovje;Literature and linguistics;
Slovenski jezik s književnostjo in ...;profesor slovenšèine in …;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenski jezik s književnostjo in knjižnièarstvom;predmetni uèitelj slovenskega jezika s književnostjo in knjižnièarstvom;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenski študiji;diplomant slovenskih študijev (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Slovenšèina;predmetni uèitelj za slovenšèino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenšèina in anglešèina;predmetni uèitelj za slovenšèino in anglešèino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Slovenšèina in nemšèina;predmetni uèitelj za slovenšèino in nemšèino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
